miid,name,kind,price,instock
,ABCD,sandwich,5.50,1
,LGBLT,sandwich,4.50,1
,Bread Serious,sandwich,6.50,1
,The Bro-wich,sandwich,5.00,1
,The Consensu-el,sandwich,2.00,1
,El Table Club,sandwich,7.00,1
,The Green Monstah,sandwich,5.00,1
,Italiano,sandwich,6.00,1
,Spice Jam,sandwich,4.50,1
,Le Petit Francais,sandwich,6.00,1
,Murphys Law,sandwich,4.50,1
,Love Snack,sandwich,3.50,1
,Sharp n Sweet,sandwich,4.50,1
,cheese sandwich,sandwich,3.50,1
,meat sandwich,sandwich,4.50,1
,meat cheese sandwich,sandwich,5.00,1
